% Model:              Untitled.mph
% Version:            COMSOL 6.3.0.335
% Date:               Jun 6 2025, 14:28
% Dimension:          2
% Nodes:              49
% Expressions:        3
% Description:        Displacement field, X-component, Displacement field, Y-component, Displacement magnitude
% Length unit:        m
% X                       Y                        u (m)                    v (m)                    solid.disp (m)
0.41945083904645686       0.4992791852913208       6.138032925228621E-12    2.008236084832306E-9     2.0082454650442462E-9
0                         0                        0                        0                        0
0.6666666666666665        0                        6.293991746899389E-9     4.7123815773793824E-9    7.862625022272283E-9
0                         0.5                      0                        0                        0
0                         1                        0                        0                        0
1.0146702647746362        0.499865929024847        2.506701933110559E-12    1.0331214050263382E-8    1.0331214354368711E-8
1.333333333333332         0                        1.1689236553305953E-8    1.718006657946659E-8     2.0779627977277384E-8
0.6666666666666667        1                        -6.294909300877261E-9    4.729010884254746E-9     7.873336462369107E-9
1.669084066455571         0.5000001970357375       -9.891767750581005E-15   2.6040577571958262E-8    2.6040577571960135E-8
1.9999999999999984        0                        1.6316771985431007E-8    3.6292123283663096E-8    3.979139681465263E-8
1.3333333333333335        1                        -1.1689200957454203E-8   1.7196804376611398E-8    2.0793448482423235E-8
2.333747807165245         0.5000016484199666       -6.025020788927904E-14   4.804755894019941E-8     4.804755894023718E-8
2.666666666666665         0                        2.0233533204274933E-8    6.106514646248255E-8     6.432999283703475E-8
2.0000000000000004        1                        -1.6316768584584264E-8   3.6308788063280246E-8    3.9806595278509793E-8
3.000071024563157         0.5000022912571152       -1.0001472675736158E-13  7.529319465999472E-8     7.529319466006114E-8
3.3333333333333326        0                        2.3498490469816307E-8    9.059067190872514E-8     9.358872203013742E-8
2.666666666666667         1                        -2.0233533452949424E-8   6.1081812830272E-8       6.4345813652669E-8
3.666678828751499         0.5000025386901071       -1.2593597125923794E-13  1.0687639759312366E-7    1.0687639759319785E-7
3.999999999999999         0                        2.617086245600653E-8     1.2403909951259277E-7    1.2676991855162686E-7
3.333333333333334         1                        -2.3498490383654796E-8   9.060733859536086E-8     9.360485488288034E-8
4.3333346660359675        0.5000015541167809       -8.459744836798245E-14   1.419993212138949E-7     1.419993212139201E-7
4.666666666666666         0                        2.8309902227665706E-8    1.6065981664040392E-7    1.631349970026916E-7
4.000000000000001         1                        -2.6170862378322705E-8   1.2405576620943377E-7    1.2678622625283394E-7
4.99999898791623          0.5000006662260824       -3.880941669034524E-14   1.799492606276954E-7     1.799492606276996E-7
5.333333333333333         0                        2.997486818942905E-8     1.9978121911042584E-7    2.0201739586536015E-7
4.666666666666667         1                        -2.830990218523972E-8    1.606764833256233E-7     1.6315141082941067E-7
5.666661183119163         0.5000001889139098       -1.1558716705207346E-14  2.2009356712618165E-7    2.2009356712618195E-7
5.999999999999998         0                        3.122501953771538E-8     2.4081071456819017E-7    2.428266914817501E-7
5.333333333333334         1                        -2.9974868173313244E-8   1.9979788578414494E-7    2.0203387806460021E-7
6.333308585436547         0.4999999988220985       7.364206143502464E-17    2.6187834062084574E-7    2.6187834062084574E-7
6.666666666666666         0                        3.211961654012211E-8     2.8323472361653306E-7    2.8505013318505635E-7
6.000000000000001         1                        -3.122501953307102E-8    2.408273812359409E-7     2.4284321978964514E-7
6.999856996166784         0.49999980401868116      1.2727854316940805E-14   3.048239714039448E-7     3.0482397140394504E-7
7.333333333333333         0                        3.271791855602883E-8     3.2661867949644E-7       3.282532924292416E-7
6.666666666666668         1                        -3.2119616544742614E-8   2.832513902780028E-7     2.8506669370763527E-7
7.666119414491522         0.4999956875054507       2.837363115595554E-13    3.4852282311082285E-7    3.485228231109384E-7
7.999999999999999         0                        3.3079198566003514E-8    3.706070349890116E-7     3.720803780920401E-7
7.333333333333335         1                        -3.271791858533778E-8    3.2663534618282097E-7    3.2826987612714043E-7
8.330193348924356         0.4999743335530249       1.7026706597353762E-12   3.925320999471068E-7     3.9253209995079964E-7
8.666666666666668         0                        3.32627480170684E-8      4.1492328130183834E-7    4.162544171200246E-7
8.000000000000002         1                        -3.3079198728069597E-8   3.7062370172159457E-7    3.720969788459839E-7
8.98170743318939          0.4998503159025323       9.966314225087253E-12    4.3592236174430393E-7    4.3592236185823167E-7
9.333333333333334         0                        3.332784118263881E-8     4.593698703402867E-7     4.605772712307317E-7
8.666666666666668         1                        -3.326274862144048E-8    4.149399486358158E-7     4.162710312041261E-7
9.560051250211982         0.499127561862169        5.8147603983360985E-11   4.744941497345772E-7     4.7449415329747023E-7
10                        0                        3.3334838537465336E-8    5.038296334349405E-7     5.049311943101806E-7
9.333333333333334         1                        -3.3327838895306785E-8   4.593865369698378E-7     4.605938940048725E-7
10                        0.5                      2.107525285155901E-15    5.038311504928186E-7     5.038311504928186E-7
10                        1                        -3.3334846070811515E-8   5.038463028978174E-7     5.049478279053826E-7
